iter	Logloss
0	0.6871036572
1	0.681364038
2	0.6763392673
3	0.6705179965
4	0.6645684403
5	0.6585959531
6	0.6526460112
7	0.647413961
8	0.6428019491
9	0.6377467466
10	0.632950172
11	0.6288950631
12	0.6241015745
13	0.6193687353
14	0.6167967293
15	0.6135719814
16	0.6087057992
17	0.6042722638
18	0.5999971025
19	0.5960245454
20	0.593340413
21	0.5893492538
22	0.5854687209
23	0.5821949391
24	0.5781429591
25	0.5742729273
26	0.5716684749
27	0.5688254539
28	0.5663762468
29	0.5631150664
30	0.5612786539
31	0.5580548919
32	0.5547243611
33	0.5514252052
34	0.547905654
35	0.5453215181
36	0.5435160948
37	0.5401584754
38	0.5376209731
39	0.5360209433
40	0.5335001999
41	0.5303868069
42	0.5278810651
43	0.5252601538
44	0.5227139076
45	0.5214588294
46	0.5184997387
47	0.5163407486
48	0.5140019963
49	0.5118534217
50	0.5100499271
51	0.507612507
52	0.5057043869
53	0.5040488082
54	0.5023117065
55	0.5003126766
56	0.4980764068
57	0.4964134988
58	0.4951795085
59	0.4928517717
60	0.4905050471
61	0.4888531117
62	0.4872482386
63	0.4856390792
64	0.4839718851
65	0.4820886676
66	0.4802096078
67	0.4787430924
68	0.4767867528
69	0.4754309065
70	0.4741214795
71	0.4729855998
72	0.471144344
73	0.4692530686
74	0.4674406587
75	0.4661436188
76	0.4647331238
77	0.4631490815
78	0.4619563671
79	0.4604555623
80	0.458774781
81	0.4577154952
82	0.4562588381
83	0.4551135288
84	0.4540817604
85	0.4527794484
86	0.4517477657
87	0.4501104033
88	0.4489465349
89	0.4479720726
90	0.4469276171
91	0.445751233
92	0.444754054
93	0.4437549034
94	0.4425109692
95	0.4412393463
96	0.4398678555
97	0.4388237428
98	0.4377218096
99	0.4368825334
100	0.4359442464
101	0.4352043666
102	0.4340280254
103	0.4329382221
104	0.4324739863
105	0.431537071
106	0.430624844
107	0.4299002658
108	0.4293805669
109	0.4287794306
110	0.4280309356
111	0.4270734466
112	0.4263386244
113	0.425602645
114	0.4249025838
115	0.4240831525
116	0.4232138302
117	0.4224826513
118	0.4220650491
119	0.4212252156
120	0.4208753779
121	0.4203833248
122	0.4196934646
123	0.419157564
124	0.4186389366
125	0.4179689643
126	0.4174523514
127	0.4171470042
128	0.4165318521
129	0.4160592583
130	0.4153816995
131	0.4147684762
132	0.4143290145
133	0.4137296355
134	0.4131233987
135	0.4125356781
136	0.4120182509
137	0.411521783
138	0.4111481142
139	0.4107368555
140	0.4100758842
141	0.4094544743
142	0.4088595958
143	0.4082257132
144	0.4075206371
145	0.4072690814
146	0.4069975521
147	0.4064874542
148	0.4059181213
149	0.4053799919
150	0.4051228213
151	0.4045174417
152	0.4039954711
153	0.4034988746
154	0.4028521334
155	0.4023151183
156	0.402099095
157	0.4015359343
158	0.4009258827
159	0.4003921252
160	0.4002302363
161	0.4000880638
162	0.3994644251
163	0.3992629319
164	0.3987381324
165	0.3980053677
166	0.3977384246
167	0.3972398565
168	0.3964608439
169	0.3961960868
170	0.395928415
171	0.3954216603
172	0.3952325542
173	0.3947995218
174	0.3943080688
175	0.3940247954
176	0.3935399859
177	0.3932030496
178	0.3929361922
179	0.3924815574
180	0.3920570116
181	0.3919348556
182	0.3917496928
183	0.391669327
184	0.3911460705
185	0.3908846137
186	0.3905832526
187	0.3903241104
188	0.3898960928
189	0.3896315071
190	0.3892964138
191	0.3889995103
192	0.3888996424
193	0.3885846084
194	0.3883003492
195	0.3880984274
196	0.3876716957
197	0.3874094245
198	0.3871196361
199	0.3868679947
200	0.386577049
201	0.3864373625
202	0.386035362
203	0.3856526921
204	0.3853806056
205	0.3852023007
206	0.3850162806
207	0.384756024
208	0.3844559916
209	0.3840192302
210	0.3836961811
211	0.3835246054
212	0.3832592053
213	0.3830334095
214	0.382859305
215	0.3825791605
216	0.3821930617
217	0.3818432669
218	0.3815036731
219	0.3813757736
220	0.3810854708
221	0.3809074659
222	0.3805124947
223	0.3803204311
224	0.3799373755
225	0.3798257635
226	0.3796877915
227	0.3794874984
228	0.3792246272
229	0.3788807044
230	0.3786249911
231	0.3783957664
232	0.3782345632
233	0.3779191435
234	0.3776326555
235	0.3774075455
236	0.3770615653
237	0.3766661226
238	0.3763337296
239	0.3760638719
240	0.3756990754
241	0.3754750798
242	0.3754318752
243	0.3752574278
244	0.3749593242
245	0.3747322854
246	0.3745347355
247	0.3742289168
248	0.3740877302
249	0.3738245589
250	0.3737501509
251	0.3735868904
252	0.3734296306
253	0.3732028918
254	0.37306642
255	0.372919447
256	0.3725330481
257	0.3723587293
258	0.3721984692
259	0.3719395841
